numero_uai,denomination_principale,dénomination complémentaire,code_postal_uai,localité_acheminement,departement,nature_uai,nature libellé,Ministère tutelle 
0021577D,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02000,LAON,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0021756Y,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02100,ST QUENTIN,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0021791L,ETABLISSEMENT HOSPITALIER,,02200,SOISSONS,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0022139P,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02880,CROUY,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0022146X,ETAB. PUBLIC DE SANTE MENTALE,CMP LA FERE,02800,LA FERE,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0022147Y,ETAB. PUBLIC DE SANTE MENTALE,CPA CENTRE POUR ADOLESCENTS,02300,CHAUNY,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0030962E,ETABLISSEMENT HOSPITALIER,CENTRE MEDICAL FRANCOIS MERCIE,03240,TRONGET,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0030963F,ETABLISSEMENT HOSPITALIER,CTRE DEP DE CURE MEDICALE,03240,ROCLES,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0030964G,CENTRE HOSPITALIER,MOULINS - YZEURE,03000,MOULINS,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0031055F,ETABLISSEMENT HOSPITALIER,,03100,MONTLUCON,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0031061M,ETABLISSEMENT HOSPITALIER,,03200,VICHY,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0040437D,ETABLISSEMENT HOSPITALIER,LES LAVANDES,04000,DIGNE LES BAINS,004,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0050512E,ETABLISSEMENT HOSPITALIER,SECTION D ENFANTS,05700,MEREUIL,005,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0050635N,HOPITAL DE JOUR,CENTRE ACCUEIL ET PSYCHOTHERAP,05000,GAP,005,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0060834Z,ETABLISSEMENT HOSPITALIER,CLINIQUE DES CADRANS SOLAIRES,06142,VENCE CEDEX,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0060965S,ETABLISSEMENT HOSPITALIER,ECOLE DES HOPITAUX,06000,NICE,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
