"Code Commune","Libellé des communes","Typo degré de Densité","Région","Population municipale 2017","Part population Dense (1)","Part population Densité Intermédiaire (2)","Part population Peu dense (3)","Part population Très peu dense (4)",,,,
01001,L'Abergement-Clémenciat,3,84,776,0.00 %,0.00 %,96.56 %,3.44 %,,,,
01002,L'Abergement-de-Varey,4,84,248,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01004,Ambérieu-en-Bugey,2,84,14035,0.00 %,95.70 %,3.54 %,0.75 %,,,,
01005,Ambérieux-en-Dombes,3,84,1689,0.00 %,0.00 %,96.05 %,3.95 %,,,,
01006,Ambléon,4,84,111,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01007,Ambronay,3,84,2726,0.00 %,0.00 %,74.51 %,25.49 %,,,,
01008,Ambutrix,2,84,752,0.00 %,81.29 %,18.71 %,0.00 %,,,,
01009,Andert-et-Condon,3,84,330,0.00 %,0.00 %,98.83 %,1.17 %,,,,
01010,Anglefort,3,84,1115,0.00 %,0.00 %,97.82 %,2.18 %,,,,
01011,Apremont,3,84,376,0.00 %,0.00 %,87.48 %,12.52 %,,,,
01012,Aranc,4,84,326,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01013,Arandas,4,84,144,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01014,Arbent,2,84,3367,0.00 %,90.28 %,9.58 %,0.15 %,,,,
01015,Arboys en Bugey,4,84,644,0.00 %,0.00 %,20.39 %,79.61 %,,,,
01016,Arbigny,3,84,463,0.00 %,0.00 %,97.90 %,2.10 %,,,,
01017,Argis,3,84,442,0.00 %,0.00 %,90.91 %,9.09 %,,,,
01019,Armix,4,84,28,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01021,Ars-sur-Formans,3,84,1408,0.00 %,0.00 %,98.34 %,1.66 %,,,,
01022,Artemare,3,84,1237,0.00 %,0.00 %,99.59 %,0.41 %,,,,
01023,Asnières-sur-Saône,4,84,66,0.00 %,0.00 %,3.70 %,96.30 %,,,,
