db_collection_name,es_index_name
applications,application
classes,classe
cohesioncenters,cohesioncenter
contracts,contract
departmentservices,departmentservice
emails,email
etablissements,etablissement
inscriptiongoals,inscriptiongoal
lignebuses,lignebus
lignetopoints,lignetopoint
missions,mission
missionapis,missionapi
modificationbuses,modificationbus
plandetransports,plandetransport
pointderassemblements,pointderassemblement
referents,referent
schoolramses,schoolramses
sessionphase1,sessionphase1
structures,structure
tablederepartitions,tablederepartition
youngs,young
